,smiles,paragraphText,namerxndef,yield,product,reactant,agent,solvent,product_name,reactant_name,agent_name,solvent_name
25,[CH3:1][CH2:2][c:3]1[cH:4][c:5]([cH:6][cH:7][c:8]1[Br:9])[O:10][C:11](=[S:12])Cl.[CH3:13][O:14][c:15]1[cH:16][cH:17][cH:18][c:19]([n:20]1)[NH:21][CH3:22]>CC(C)=O.O=C(O[K])O[K]>[CH3:1][CH2:2][c:3]1[cH:4][c:5]([cH:6][cH:7][c:8]1[Br:9])[O:10][C:11](=[S:12])[N:21]([CH3:22])[c:19]1[cH:18][cH:17][cH:16][c:15]([n:20]1)[O:14][CH3:13],"To a mixture of 1.38 g of 2-methoxy-6-methylaminopyridine and 1.38 g of anhydrous potassium carbonate in 20 ml of acetone was added dropwise 2.80 g of O-4-bromo-3-ethylphenyl chlorothioformate in 20 ml of acetone under stirring at room temperature. The resulting mixture was stirred for 30 minutes at room temperature, and then subjected to refluxing for 2 hours. After the reaction mixture was cooled to room temperature, inorganic salts were removed by filtration and acetone was removed by distillation. The residue was purified by column chromatography (silica gel, benzene) to obtain 2.78 g of title compound. A part of product was recrystallized from benzene-hexane to give colorless crystal having a melting point of 84-85°C.",Thioamide Schotten-Baumann,[72.973],['CCc1cc(OC(=S)N(C)c2cccc(OC)n2)ccc1Br'],"['CCc1cc(OC(=S)Cl)ccc1Br', 'CNc1cccc(OC)n1']",['O=C(O[K])O[K]'],"['CC(C)=O', 'CC(C)=O']",['O-4-bromo-3-ethylphenyl N-(6-methoxy-2-pyridyl)-N-methyl-thiocarbamate'],"['2-methoxy-6-methylaminopyridine', 'O-4-bromo-3-ethylphenyl chlorothioformate']",['potassium carbonate'],"['acetone', 'acetone']"
26,"Cl.[CH3:1][C:2](=O)[c:3]1[cH:4][cH:5][c:6]([cH:7][cH:8]1)[OH:9].[NH2:10][OH:11]>[NH4+].O.CCO.[OH-]>[CH3:1]/[C:2](=[N:10]\[OH:11])[c:3]1[cH:8][cH:7][c:6]([cH:5][cH:4]1)[OH:9] |f:0.2,3.6|","A solution was prepared by adding 13.6 g (0.1 mol) of 4-hydroxyacetophenone, 7.6 g (0.11 mol) of hydroxylamine hydrochloride, and 10 g of water to 40 mL of ethanol. To the solution was added 5.0 g of 30% ammonium hydroxide which was then heated at reflux for 2 h. The ethanol was removed on a rotary evaporator to yield a yellow oil. An extractive work-up afforded 15.1 g (99%) of 4-hydroxyacetophenone oxime.",Oxo to hydroxyimino,[99.0],['C/C(=N\\O)c1ccc(O)cc1'],"['CC(=O)c1ccc(O)cc1', 'Cl.NO']","['O', '[NH4+].[OH-]']",['CCO'],['4-hydroxyacetophenone oxime'],"['4-hydroxyacetophenone', 'hydroxylamine hydrochloride']","['water', 'ammonium hydroxide']",['ethanol']
27,"[ClH:1].[CH3:2][N:3]1[CH2:4][CH2:5][CH:6]([CH2:7][CH2:8]1)Cl.N#[C:9][c:10]1[cH:11][cH:12][cH:13][cH:14][c:15]1[F:16]>[NH4+].O.[Cl-].CCBr.CCOCC.N#N.C1CCOC1.[Mg]>[ClH:1].[CH3:2][N:3]1[CH2:4][CH2:5][CH:6]([CH2:7][CH2:8]1)[C:9](=O)[c:10]1[cH:11][cH:12][cH:13][cH:14][c:15]1[F:16] |f:3.5,11.12|","To a suspension of 7.6 g of magnesium turnings in 25 ml of tetrahydrofuran was added a few drops of ethyl bromide, with stirring under nitrogen. After the reaction began approximately 50.0 g of N-methyl-4-chloropiperidine in 125 ml of tetrahydrofuran was added dropwise at a rate such that moderate reflux was maintained.
The reaction mixture was heated under reflux for an additional hour. A solution of 37.2 g of 2-fluorobenzonitrile in 30 ml of tetrahydrofuran was added dropwise. After completion of the reaction, the reaction mixture was heated under reflux for two hrs and stirred overnight at room temperature. The reaction mixture was poured into a solutin of 85 g of ammonium chloride in 1200 ml of ice water and heated on a steam bath for 3 hrs. The mixture was cooled, extracted with benzene (3 x 250 ml) and dried over anhydrous sodium sulfate. Removal of the solvent under reduced pressure gave an oil. A 1.0 g-portion of the oil was dissolved in ether and a solution of ethereal hydrogen chloride was added. The precipitate was collected, dried and twice recrystallized from ethanol-ether to give 0.5 g (42%) of product as crystals, mp. 167―169°.",Chloro Grignard + nitrile ketone synthesis,[42.0],['CN1CCC(C(=O)c2ccccc2F)CC1.Cl'],"['CN1CCC(Cl)CC1', 'Cl', 'N#Cc1ccccc1F']","['CCOCC', '[Cl-].[NH4+]', '[Mg]']","['C1CCOC1', 'C1CCOC1', 'C1CCOC1', 'CCBr', 'O']",['4-(2-Fluorobenzoyl)-I-methylpiperidine hydrochloride'],"['N-methyl-4-chloropiperidine', '2-fluorobenzonitrile', 'hydrogen chloride']","['magnesium', 'ammonium chloride', 'ether']","['tetrahydrofuran', 'ethyl bromide', 'tetrahydrofuran', 'tetrahydrofuran', 'ice water']"
28,Cl.[NH2:1][c:2]1[cH:3][cH:4][cH:5][c:6]([cH:7]1)[C:8](=[O:9])[NH:10][CH2:11][CH2:12][c:13]1[c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]2[n:20]2[C:21]([CH2:22][CH2:23][CH2:24][c:25]12)=[O:26].Br[CH2:27][CH2:28][CH2:29][CH2:30]Br>CN(C)C=O.O=C(O[K])O[K]>[O:26]=[C:21]1[CH2:22][CH2:23][CH2:24][c:25]2[c:13]([c:14]3[cH:15][cH:16][cH:17][cH:18][c:19]3[n:20]12)[CH2:12][CH2:11][NH:10][C:8](=[O:9])[c:6]1[cH:5][cH:4][cH:3][c:2]([cH:7]1)[N:1]1[CH2:30][CH2:29][CH2:28][CH2:27]1 |f:0.1|,"9.3 g Compound D6, 12 g K2CO3, 14 g KI, 6.2 g 1,4-dibromobutane and 100 ml DMF were heated for 20 hours at 65°C. After working-up the oil obtained was chromotographed on 500 g silica and eluted with a 2:1 mixture of CH2CI2: ethyl acetate, giving 8.6 g white crystals of D13.",Pyrrolidine synthesis,[88.4028],['O=C(NCCc1c2n(c3ccccc13)C(=O)CCC2)c1cccc(N2CCCC2)c1'],"['BrCCCCBr', 'Cl.Nc1cccc(C(=O)NCCc2c3n(c4ccccc24)C(=O)CCC3)c1']",['O=C(O[K])O[K]'],['CN(C)C=O'],"['6-Oxo-10-[2-(3-pyrrolidinobenzoyl)aminoethyl]-6,7,8,9-tetrahydropyrido[1,2-a]-indole']","['6-Oxo-10-[2-(3-aminobenzoyl)aminoethyl]-6,7,8,9-tetrahydropyrido[1,2-a]-indole hydrochloride', '1,4-dibromobutane']",['K2CO3'],['DMF']
29,[CH3:1][CH2:2][O:3][C:4](=[O:5])[N:6]1[CH2:7][CH2:8][CH:9]([CH2:10][CH2:11]1)[NH2:12].S=[C:13]=[S:14]>O.CCOC(=O)Cl.O[Na]>[CH3:1][CH2:2][O:3][C:4](=[O:5])[N:6]1[CH2:7][CH2:8][CH:9]([CH2:10][CH2:11]1)[N:12]=[C:13]=[S:14],"To a stirred and cooled mixture of 4 parts of sodium hydroxide in 60 parts of water were added successively 7.9 parts of carbon disulfide and 17.2 parts of ethyl 4-amino-1-piperidinecarboxylate at a temperature below 10°C. Stirring was continued for 30 minutes at this temperature. Then there were added dropwise 10.9 parts of ethyl carbonochloridate (exothermic reaction: temp. rises to about 35°C). Upon completion, stirring was continued for 2 hours at 60°C. The reaction mixture was cooled and the product was extracted with methylbenzene. The extract was dried, filtered and evaporated, yielding 22 parts (100%) of ethyl 4-isothiocyanato-1-piperidine-carboxylate as a residue (14).",Amino to isothiocyanato,[100.0],['CCOC(=O)N1CCC(N=C=S)CC1'],['CCOC(=O)N1CCC(N)CC1'],"['CCOC(=O)Cl', 'O', 'O[Na]']",['S=C=S'],['ethyl 4-isothiocyanato-1-piperidine-carboxylate'],['ethyl 4-amino-1-piperidinecarboxylate'],"['sodium hydroxide', 'water', 'ethyl carbonochloridate']",['carbon disulfide']
30,CCOC(=O)[N:1]1[CH2:2][CH2:3][CH:4]([CH2:5][CH2:6]1)[NH:7][c:8]1[n:9][c:10]2[cH:11][cH:12][cH:13][n:14][c:15]2[n:16]1[CH2:17][c:18]1[cH:19][cH:20][cH:21][o:22]1>O.CC(C)O.O[K]>[cH:20]1[cH:21][o:22][c:18]([cH:19]1)[CH2:17][n:16]1[c:15]2[n:14][cH:13][cH:12][cH:11][c:10]2[n:9][c:8]1[NH:7][CH:4]1[CH2:3][CH2:2][NH:1][CH2:6][CH2:5]1,"A mixture of 50 parts of ethyl 4-[[3-(2-furanylmethyl)-3H-imidazo[4,5-b]pyridin-2-yl]amino]-1-piperidinecarboxylate, 50 parts of potassium hydroxide, 400 parts of 2-propanol and 20 drops of water was stirred and refluxed for about 5 hours. The reaction mixture was evaporated and water was added to the residue. The product was extracted twice with 4-methyl-2-pentanone. The combined extracts were dried, filtered and evaporated. The solid residue was stirred in 1,1'-oxybisethane. The product was filtered off and dried, yielding 34 parts (85%) of 3-(2-furanylmethyl)-N-(4-piperidinyl)-3H-imidazo[4,5-b]pyridin-2-amine; mp. 159.0°C (35).",N-Ethyl carbamate deprotection,[85.0],['c1coc(Cn2c(NC3CCNCC3)nc3cccnc32)c1'],['CCOC(=O)N1CCC(Nc2nc3cccnc3n2Cc2ccco2)CC1'],"['CC(C)O', 'O[K]']",['O'],"['3-(2-furanylmethyl)-N-(4-piperidinyl)-3H-imidazo[4,5-b]pyridin-2-amine']","['ethyl 4-[[3-(2-furanylmethyl)-3H-imidazo[4,5-b]pyridin-2-yl]amino]-1-piperidinecarboxylate']","['potassium hydroxide', '2-propanol']",['water']
31,[CH3:1][CH2:2][CH2:3][S:4][c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[Cl:11]>CC(=O)O.O=S(=O)(O)O>[CH3:1][CH2:2][CH2:3][S:4](=O)(=O)[c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[Cl:11],"To a solution of 9.33 g of o-chlorophenyl propyl sulfide and 0.4 g H2SO4 in 40 ml of glacial acetic acid was added 8.25 g of 50% aqueous H202. Cooling in an ice bath was required to control the exotherm after the first portions raised the temperature to 40°C. After ca. half the peroxide was added no further exotherm was noted. The solution was stirred at ambient temperature overnight followed by heating to 80°C for 15 minutes. The reaction mixture was quenched with water, extracted with methylene chloride, and the organic layer dried (MgS04). Removal of the solvent in vacuo provided 10.9 g (99.8%) of the o-chlorophenyi propyl sulfone as an oil whose NMR spectrum and glc retention time were identical to those obtained for an authentic sample.",Sulfanyl to sulfonyl,[99.8],['CCCS(=O)(=O)c1ccccc1Cl'],['CCCSc1ccccc1Cl'],['O=S(=O)(O)O'],['CC(=O)O'],['o-chlorophenyi propyl sulfone'],['o-chlorophenyl propyl sulfide'],['H2SO4'],['acetic acid']
32,[CH3:1][N:2]([CH2:3][C:4](=[O:5])O)[C:6](=[S:7])[c:8]1[cH:9][cH:10][cH:11][c:12]2[c:13]1[cH:14][cH:15][c:16]([c:17]2[C:18]([F:19])([F:20])[F:21])[O:22][CH3:23].[CH3:24][O:25][C:26](=[NH:27])[NH2:28].O=S(=O)(O)O>C(=NC1CCCCC1)=NC1CCCCC1.CCN(CC)CC.COC(=N)N.CN(C)C=O>[CH3:23][O:22][c:16]1[cH:15][cH:14][c:13]2[c:12]([cH:11][cH:10][cH:9][c:8]2[C:6](=[S:7])[N:2]([CH3:1])[CH2:3][C:4](=[O:5])[NH:28][C:26](=[NH:27])[O:25][CH3:24])[c:17]1[C:18]([F:19])([F:20])[F:21] |f:1.2|,"To a cooled and stirred solution of N-[[5-(trifluoromethyl)-6-methoxy-1-naphthalenyl]thioxomethyl]-N-methylglycine (3 g, 8.4 mmol) 1-hydroxybenzotriazole (1.7 g, 12.8 mmol), O-methylisourea bisulfate (1.6 g, 9.2 mmol) and triethylamine (1.86 g, 18.5 mmol, 2.6 ml) in dry dimethylformamide (15 ml) was added a solution of dicyclohexylcarbodiimide (2.1 g, 10 mmol) in dry dimethylformamide (15 ml). The mixture was allowed to attain room temperature, pH was adjusted to 9 by addition of triethylamine. Additional amounts of DCCI (1 g) and O-methylisourea (0.3 g) were added and the mixture stirred over 24 hours at room temperature. Dicyclohexylurea was separated by filtration, the filtrate evaporated to dryness and the residue triturated with water and ethyl acetate. Separation of the phases was facilitated if some insoluble impurity was removed by filtration. The aqueous phase was repeatedly extracted with ethyl acetate, the organic layers washed with sodium bicarbonate solution, brine and dried over anhydrous MgS04. Evaporation to dryness and crystallization from toluene-hexane and recrystallization from toluene afforded 1.1 g(31.6% crude) of the product. Some dicyclohexylurea was removed by dissolving the crude material in ethyl acetate, filtration, evaporation and crystallization from toluene to give pure product (0.6 g, 17.2%) m.p. 165-166°C as a pale yellow powder.",Carboxylic acid + amidine condensation,[17.2],['COC(=N)NC(=O)CN(C)C(=S)c1cccc2c(C(F)(F)F)c(OC)ccc12'],"['COC(=N)N.O=S(=O)(O)O', 'COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F']","['C(=NC1CCCCC1)=NC1CCCCC1', 'C(=NC1CCCCC1)=NC1CCCCC1', 'CCN(CC)CC', 'COC(=N)N']","['CCN(CC)CC', 'CN(C)C=O', 'CN(C)C=O']","['N-[[[[5-(Trifluoromethyl)-6-methoxy-1-naphthalenyl]thioxomethyl] methylamino]acetyl]carbamimidic Acid, Methyl Ester']","['N-[[5-(trifluoromethyl)-6-methoxy-1-naphthalenyl]thioxomethyl]-N-methylglycine', 'O-methylisourea bisulfate']","['dicyclohexylcarbodiimide', 'DCCI', 'O-methylisourea', 'triethylamine']","['dimethylformamide', 'dimethylformamide', 'triethylamine']"
33,"CO[C:1](=[O:2])[C@@H:3]1[O:4][c:5]2[c:6]([cH:7][cH:8][cH:9][c:10]2[CH2:11][C@H:12]1[CH2:13][OH:14])[F:15]>[NH4+].[Cl-].C1CCOC1.[Li][AlH4]>[OH:2][CH2:1][C@@H:3]1[O:4][c:5]2[c:6]([cH:7][cH:8][cH:9][c:10]2[CH2:11][C@H:12]1[CH2:13][OH:14])[F:15] |&1:4,13,28,37,f:1.2|","A solution of Intermediate 7 (2.2 g) in dry THF (30 mls) was added dropwise to a stirred suspension of lithium aluminium hydride (0.46 g) in THF (30 mls) at 0-5°. After 1 hour, saturated ammonium chloride solution (10 mls) was added, the solid was filtered off and washed with THF. Evaporation of the combined solutions yielded a gum which was partitioned between ethyl acetate and water. The aqueous layer was evaporated to dryness, the residue was extracted with ethyl acetate and the combined ethyl acetate layers were dried and the solvent was evaporated. A solution of the product in a small volume of ethyl acetate was diluted with petrol until no nore solid precipitated. The solid was collected and dried to yield the title compound (1.5 g), M.p. 111°.",Ester to alcohol reduction,[77.1834],['OC[C@@H]1Cc2cccc(F)c2O[C@H]1CO'],['COC(=O)[C@@H]1Oc2c(F)cccc2C[C@H]1CO'],['[Li][AlH4]'],"['C1CCOC1', 'C1CCOC1', '[Cl-].[NH4+]']","['trans-(±)-8-Fluoro-3,4-dihydro-2H-1-benzopyran-2,3-dimethanol']","['trans-(±)-8-Fluoro-3,4-dihydro-3-(hydroxymethyl)-2H-1-benzopyran-2-carboxylic acid methyl ester']",['lithium aluminium hydride'],"['ammonium chloride', 'THF', 'THF']"
34,[O:1]=[CH:2][c:3]1[cH:4][c:5]2[O:6][CH2:7][CH2:8][c:9]2[cH:10][c:11]1[O:12][CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1>CC(C)C[AlH]CC(C)C.Cc1ccccc1.O>[OH:1][CH2:2][c:3]1[cH:4][c:5]2[O:6][CH2:7][CH2:8][c:9]2[cH:10][c:11]1[O:12][CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1,"A flamed dried, N2 purged 1-liter, 3-neck flask equipped with a dropping funnel, mechanical stirrer, and thermometer was charged with 5-benzyloxy-2,3-dihydrobenzofuran-6-carboxaldehyde (30.00 g, 0.12 moles) and anhydrous toluene (150 ml). The resultant yellow solution was cooled to -65°C and with efficient stirring a diisobutylaluminum hydride solution in toluene (77 ml of a 25 wt.% solution) was added dropwise over 30 minutes. Upon complete addition, the reaction mixture was allowed to warm to room temperature and stirred 1 hour more. The reaction mixture was poured slowly into 2 N HCI (300 ml) and crushed ice (400 ml) with rapid stirring. The quenched mixture was extracted sequentially with Et20 (2 x 300 ml) and EtOAC (2 x 200 ml). The combined organic layers were washed with brine (2 x 300 ml), dried over MgS04, filtered, and the filtrate concentrated in vacuo to afford 5-benzyloxy-6-hydroxymethyl-2,3-dihydrobenzofuran as a white precipitate (30.0 g, 97.5%).",Aldehyde to alcohol reduction,[97.5],['OCc1cc2c(cc1OCc1ccccc1)CCO2'],['O=Cc1cc2c(cc1OCc1ccccc1)CCO2'],['CC(C)C[AlH]CC(C)C'],"['Cc1ccccc1', 'Cc1ccccc1', 'O']","['5-benzyloxy-6-hydroxymethyl-2,3-dihydrobenzofuran']","['5-benzyloxy-2,3-dihydrobenzofuran-6-carboxaldehyde']",['diisobutylaluminum hydride'],"['ice', 'toluene', 'toluene']"
35,[CH3:1][O:2][C:3](=[O:4])[CH2:5][C:6](=[O:7])[CH2:8][C:9](=[O:10])[O:11][CH3:12].O[CH2:13][CH2:14][OH:15]>O=S(=O)(O)Cc1ccccc1.COC(OC)OC.O=C(O)O[Na].C1CCOC1.O.O>[CH3:1][O:2][C:3](=[O:4])[CH2:5][C:6]1([O:7][CH2:13][CH2:14][O:15]1)[CH2:8][C:9](=[O:10])[O:11][CH3:12] |f:2.6|,"A solution of dimethyl 1,3-acetonedicarboxylate (100 g; 0.574 mole; 1 eq.) ethylene glycol (320 ml; 10 eq.), toluene sulfonic acid monohydrate (20 g; 0.105 mole), methyl orthoformate (320 ml; 5 eq.) in 400 ml of tetrahydrofuran was heated at the reflux temperature for 40 hours. The colorless reaction mixture was cooled to room temperature and sodium bicarbonate (55 g; 0.6547 mole) was added, followed by the addition of 100 ml of water. The mixture was shaken thoroughly and distilled under reduced pressure to remove the tetrahydrofuran, excess methyl orthoformate, water and most of the ethylene glycol. The distillation was carried out in an oil bath at a temperature of about 115°C at a reduced pressure of 2 torr. The temperature reading at the top of the fractional column was not allowed to exceed 80°C.
Following the distillation, the residue was cooled, diluted with methylene chloride and treated with 100 ml of a saturated aqueous solution of sodium bicarbonate. The mixture was extracted three times with ethyl acetate, the organic layers combined, dried over magnesium sulfate, and concentrated under vacuum. The yellow oily residue was fractionally distilled under reduced pressure and the product, dimethyl 3,3-(ethylenedioxy)glutarate (87 g, 69.5% yield), was collected as a colorless oil at a temperature range of 120°C-140°C/0.1 torr.",Ketone dioxolane protection,[69.5],['COC(=O)CC1(CC(=O)OC)OCCO1'],"['COC(=O)CC(=O)CC(=O)OC', 'OCCO']","['O.O=S(=O)(O)Cc1ccccc1', 'O=C(O)O[Na]']","['C1CCOC1', 'COC(OC)OC', 'O']","['dimethyl 3,3-(ethylenedioxy)glutarate']","['dimethyl 1,3-acetonedicarboxylate', 'ethylene glycol']","['toluene sulfonic acid monohydrate', 'sodium bicarbonate']","['methyl orthoformate', 'tetrahydrofuran', 'water']"
36,[O:1]=[C:2]([OH:3])[CH2:4][C:5]1([O:6][CH2:7][CH2:8][O:9]1)[CH2:10][C:11](=[O:12])O>N#N.C(=NC1CCCCC1)=NC1CCCCC1.C1CCOC1>[O:12]=[C:11]1[CH2:10][C:5]2([CH2:4][C:2]([O:3]1)=[O:1])[O:6][CH2:7][CH2:8][O:9]2,"To a solution of 3,3-(ethylenedioxy)glutaric acid (12.26 g, 64.50 mmole) in 300 ml of tetrahydrofuran maintained at 0°C under nitrogen was added dropwise a solution of dicyclohexylcarbodiimide (13.60 g, 65.91 mmole) in 100 ml of tetrahydrofuran. The resulting suspension was stirred at room temperature overnight under nitrogen and the solvent was evaporated under vacuum. The residue was suspended in benzene, shaken thoroughly and filtered through silica gel packed in a column (10 cm long, Si02, 60-200 mesh, benzene). The filtrate was evaporated under vacuum to provide the anhydride (8.268 g, 75% yield) as a white crystalline solid melting at about 111 °C to about 112°C.",Carboxylic anhydride synthesis,[75.0],['O=C1CC2(CC(=O)O1)OCCO2'],['O=C(O)CC1(CC(=O)O)OCCO1'],['C(=NC1CCCCC1)=NC1CCCCC1'],"['C1CCOC1', 'C1CCOC1']","['3,3-(Ethylenedioxy)glutaric anhydride']","['3,3-(ethylenedioxy)glutaric acid']",['dicyclohexylcarbodiimide'],"['tetrahydrofuran', 'tetrahydrofuran']"
37,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][c:12]([c:13]2[c:14]([cH:15]1)[O:16][C:17]([CH2:18][CH:19]2[C:20]#N)([CH3:21])[CH3:22])[O:23][CH2:24][c:25]1[cH:26][cH:27][cH:28][cH:29][cH:30]1>CCOCC.N#N.OCCO.O[K]>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][c:12]([c:13]2[c:14]([cH:15]1)[O:16][C:17]([CH2:18][CH:19]2[C:20](=O)O)([CH3:21])[CH3:22])[O:23][CH2:24][c:25]1[cH:26][cH:27][cH:28][cH:29][cH:30]1,"A mixture of 2.0 g 5-benzyloxy-4-cyano-2,2-dimethyl-7-(1,1-dimethylheptyl)-3,4-dihydro-2H-benzopyran, 20 g potassium hydroxide and 100 ml ethylene glycol are heated under nitrogen at reflux for 18 hours and cooled to ambient temperature. The mixture is acidified to pH 3 with concentrated hydrochloric acid, extracted with ethyl acetate and the extracts dried (MgS04). Evaporation of solvent gives an oil which is taken up in ethyl ether, washed with water, brine, dried (MgS04) and the solvent evaporated to give 2.09 g of crude solid. The crude was purified by chromatography on silica gel, eluting with ethyl ether/hexane. The combined product fractions are combined and solvent evaporated to afford 1.69 g of product, m.p. 137-138°C.",Cyano to carboxy,[80.7128],['CCCCCCC(C)(C)c1cc(OCc2ccccc2)c2c(c1)OC(C)(C)CC2C(=O)O'],['CCCCCCC(C)(C)c1cc(OCc2ccccc2)c2c(c1)OC(C)(C)CC2C#N'],"['CCOCC', 'O[K]']",['OCCO'],"['5-Benzyloxy-2,2-dimethyl-7-(1,1-dimethylheptyl)-3,4-dihydro-2H-benzopyran-4-carboxylic acid']","['5-benzyloxy-4-cyano-2,2-dimethyl-7-(1,1-dimethylheptyl)-3,4-dihydro-2H-benzopyran']","['potassium hydroxide', 'ethyl ether']",['ethylene glycol']
38,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][c:12]([c:13]2[c:14]([cH:15]1)[O:16][C:17]([CH2:18][CH:19]2[C:20](=[O:21])[OH:22])([CH3:23])[CH3:24])[O:25][CH2:26][c:27]1[cH:28][cH:29][cH:30][cH:31][cH:32]1.[O-:33][N+:34](=[O:35])[c:36]1[cH:37][cH:38][c:39]([cH:40][cH:41]1)OC(=O)C(F)(F)F>CCCCC.N#N.c1ccncc1>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][c:12]([c:13]2[c:14]([cH:15]1)[O:16][C:17]([CH2:18][CH:19]2[C:20](=[O:21])[O:22][c:39]1[cH:38][cH:37][c:36]([cH:41][cH:40]1)[N+:34]([O-:33])=[O:35])([CH3:23])[CH3:24])[O:25][CH2:26][c:27]1[cH:28][cH:29][cH:30][cH:31][cH:32]1,"A mixture of 3.3 g (7.53 mmole) 5-benzyloxy-2,2-dimethyl-7-(1,1-dimethylheptyl)-3,4-dihydro-2H-benzopyran-4-carboxylic acid, 5.0 g (21.3 mmole) p-nitrophenyl trifluoroacetate and 100 ml dry pyridine, under nitrogen, is stirred at room temperature for three hours. The pyridine is evaporated in vacuo, ethyl ether is added to the residue and this is washed with 1N sodium hydroxide, water, 10% hydrochloric acid, brine, dried (MgS04) and the solvent evaporated to obtain 4.5 g crude oil. This is taken up in pentane and cooled to obtain 3.38 g of crystals, m.p. 87-87.5°C.",Ester + carboxylic acid reaction,[80.2125],['CCCCCCC(C)(C)c1cc(OCc2ccccc2)c2c(c1)OC(C)(C)CC2C(=O)Oc1ccc([N+](=O)[O-])cc1'],"['CCCCCCC(C)(C)c1cc(OCc2ccccc2)c2c(c1)OC(C)(C)CC2C(=O)O', 'O=C(Oc1ccc([N+](=O)[O-])cc1)C(F)(F)F']",['CCCCC'],['c1ccncc1'],"['p-Nitrophenyl 5-benzyloxy-2,2-dimethyl-7-(1,1-dimethylheptyl)-3,4-dihydro-2H-benzopyran-4-carboxylate']","['5-benzyloxy-2,2-dimethyl-7-(1,1-dimethylheptyl)-3,4-dihydro-2H-benzopyran-4-carboxylic acid', 'p-nitrophenyl trifluoroacetate']",['pentane'],['pyridine']
39,"C[O:1][c:2]1[cH:3][c:4]([cH:5][c:6]([cH:7]1)[CH:8](O)[CH:9]([CH3:10])[CH3:11])[O:12]C>O.O.Cl.N#N.c1ccncc1>[CH3:10][CH:9]([CH3:11])[CH2:8][c:6]1[cH:7][c:2]([cH:3][c:4]([cH:5]1)[OH:12])[OH:1] |f:1.2,3.5|","A mixture of 66.2 g 1-hydroxy-1-(3,5-dimethoxyphenyl)-2-methylpropane (from reaction of 3,5-dimethoxybenzaldehyde and isopropylmagnesium chloride in ethyl ether at 0-5°C) and 230 g pyridine hydrochloride is heated under nitrogen at 190°C for 3.5 hours. The resulting mixture is cooled to 30°C, poured into 500 ml ice/water and the mixture acidified (pH 3.0) with 10% hydrochloric acid. The acid mixture is extracted three times with ethyl acetate, the extracts washed with water, brine, dried (MgS04) and the solvent evaporated in vacuo to provide 50.9 g of residual oil. This is taken up in methylene chloride, filtered and the solvent evaporated to provide 43 g of crude 3,5-dihydroxyisobutenylbenzene which is purified by chromatography on a silica gel column (1200 g) eluting with mixtures of ethyl ether/methylene chloride to yield 31.9 g of purified olefin.",Deoxygenation,[97.2684],['CC(C)Cc1cc(O)cc(O)c1'],['COc1cc(OC)cc(C(O)C(C)C)c1'],['Cl.c1ccncc1'],['O.O'],"['3,5-Dihydroxyisobutylbenzene']","['1-hydroxy-1-(3,5-dimethoxyphenyl)-2-methylpropane']",['pyridine hydrochloride'],['ice/water']
40,[CH3:1][c:2]1[cH:3][cH:4][c:5]([cH:6][cH:7]1)[C:8](=[O:9])[c:10]1[cH:11][cH:12][cH:13][c:14]([n:15]1)Br>O.O.OCCO.S[Na]>[CH3:1][c:2]1[cH:3][cH:4][c:5]([cH:6][cH:7]1)[C:8](=[O:9])[c:10]1[cH:11][cH:12][cH:13][c:14]([n:15]1)S |f:1.4|,"To a stirred solution of sodium hydrosulphide hydrate (22.0 g) in ethylene glycol(100 ml) at 100°C was added 2-bromo-6-(4-toluoyl)pyridine (27.6 g) in portions. The mixture was then heated at 110°C for 3 hours, allowed to cool and then poured into water (600 ml). The yellow precipitate of the by-product 6-(4-methylbenzyl)pyridine-2-thiol was filtered off and the filtrate was acidified by the addition of glacial acetic acid (10 ml). The resultant orange solid was then filtered off and well washed with water and dried. This crude solid (19.4 g) was crystallised from a mixture of benzene (50 ml) and methanol (175 ml) to give 6-(4-toluoyl)-pyridine-2-thiol (10.0 g) as orange needles. M.p. 179-181°C.",Bromo to sulfanyl,[43.6318],['Cc1ccc(C(=O)c2cccc(S)n2)cc1'],['Cc1ccc(C(=O)c2cccc(Br)n2)cc1'],['O.[Na]S'],"['O', 'OCCO']",['6-(4-toluoyl)-pyridine-2-thiol'],['2-bromo-6-(4-toluoyl)pyridine'],['sodium hydrosulphide hydrate'],"['water', 'ethylene glycol']"
